Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bosnia and Herzegovina,BIH,1572.24533726694,1445.67608819589,1050.83360181554,908.683071104065,364.550552721132,390.224207048746,463.611839789609,721.1848279074,896.756505907207,885.263589818115,1158.63131988475,1118.38971623576,1172.06475417402,1169.27344914761,1277.60630828273,1338.52163329067,1407.55596182528,1409.61670421863,1587.9349146612,1664.23265054185,1749.12318862482,1951.71003844394,1854.11343000722,1821.82433548194,2246.91967844728,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Botswana,BWA,946.794108595569,935.533000281983,1048.66473935026,1025.07880009435,985.470611739126,985.129739567948,938.406890272674,961.778080724475,1061.2961853608,1072.53220589916,1092.48576369746,1084.60253254656,1082.37213444231,1060.37195614847,1024.3819550763,1037.42083444965,1050.64414992472,1062.92272984907,1101.24663362982,1007.29460690515,1083.91202276679,1026.72915874848,1150.63903770977,1203.32493590415,1300.6366901687,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brazil,BRA,940.965867563818,942.038013277998,935.746474541775,943.3270433378,976.982183506176,994.289806234661,1030.66803492043,1066.1869896508,1075.19910003961,1083.40397812367,1072.37953767926,1076.27547394481,1090.34986670196,1094.42466968924,1141.49109780541,1156.90756762061,1184.14510219296,1238.41164142241,1294.48083319241,1240.17728453802,1358.5024160427,1367.18809766171,1413.73335709267,1461.07678089719,1495.54120710984,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brunei Darussalam,BRN,6674.71136861716,7335.26539198377,7666.05085216071,7175.61709877485,6479.08475958183,7562.77051906002,7425.41247841587,7488.52089063271,7289.03567041837,7271.03399650532,7157.13235183768,6492.72425698607,6221.15911437157,7090.2480377477,6389.81395698225,6074.56849093708,8511.57420536213,8606.76596482338,9337.04249369434,7925.91415606946,8337.49478960288,9837.44742029221,9599.37742644534,7522.25527358866,8673.08898428139,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bulgaria,BGR,3237.35265027347,2536.64400505678,2396.007266371,2590.01125194501,2519.85914523809,2746.66773414963,2745.71000281484,2504.1226804208,2425.94624591215,2230.66030060565,2277.36796728392,2421.14536113856,2410.96935484674,2490.41667315085,2440.69815961414,2597.89616674405,2691.46043782007,2666.11144523943,2648.86705627088,2351.6550533062,2416.70390728324,2617.12786908804,2513.35238098367,2329.122801222,2477.65540069696,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cabo Verde,CPV,85.947986388519,..,..,..,..,..,..,..,..,..,..,..,..,..,194.911709375691,213.808116933603,217.405204936377,216.814718140866,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cambodia,KHM,..,..,..,..,..,266.199630672951,270.136157816726,266.841113058255,295.865060392183,289.106982079943,280.732283421165,276.504730839969,316.073293876343,320.065481434857,259.386296328411,258.857633119707,254.446137692986,254.245881677157,251.27533215969,360.49494508289,370.259887150917,381.242262191259,390.790431741813,396.913564800778,416.838308912571,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cameroon,CMR,422.819422062042,414.335842935754,406.72486153245,408.883177900652,411.339020589852,407.169697502674,406.152741433158,406.836191477275,407.781214699933,400.371160685076,406.708802951151,400.789821776882,399.531178225268,404.798621975714,406.321986460418,397.810855329009,368.917431249045,338.474135093108,332.171970365039,349.370707378843,342.496310819974,321.159016086375,322.278858451182,329.58734352365,335.201507742443,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Canada,CAN,7630.09230606557,7517.33030357287,7601.68517694524,7770.54644758451,7957.24563262571,7979.89844555264,8053.45485804934,8056.24362752186,7948.39727830446,8107.51515577335,8265.07992477285,8056.3494253004,7993.87938404109,8341.34314379952,8455.5470136727,8422.03430847519,8239.94637098436,8213.38954256017,8194.88077131979,7797.12113645126,7788.56078606815,7911.55458837168,7733.41165473909,7743.72574213676,7897.85561511436,7631.34157027209
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chile,CHL,1055.34861517348,1061.48752398806,1129.08712571208,1138.48101285793,1204.92173701888,1275.42812790273,1392.71273711437,1538.5285083003,1572.72018402251,1650.6113646556,1640.41037251587,1591.7255178536,1630.12524093193,1629.89982366805,1717.85949534345,1752.7276160789,1805.22111829255,1852.50524872816,1815.20784512664,1748.32848578122,1807.91565802411,1950.23836027996,2138.29936839765,2202.11521982719,2032.93475704291,2005.55106241165
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,China,CHN,766.995329395649,736.851801386885,752.628662540666,788.128723566749,816.162889997357,866.834374260803,881.653737423514,871.756323801394,869.358607334522,878.52453551629,898.987313140273,928.811433738255,984.810714620431,1118.43177274138,1268.13290434581,1393.69132405731,1515.1736777471,1630.17102857988,1672.90411994066,1778.43351862146,1954.72255616896,2086.48690379651,2155.16478775741,2213.75932679132,2236.72990756962,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Colombia,COL,731.74396222843,725.354170384268,727.601990647531,746.608843361392,758.534765730721,757.759509660217,762.526267729377,727.162900304617,748.795045352963,658.736755075736,651.363583086687,638.598670964366,616.606609707662,620.328979898501,617.899967708396,635.056317533048,658.918525796487,646.79753617444,669.248982916541,686.10752961326,689.979693604754,684.402386041295,684.635103159862,723.814816283695,724.070279268057,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Comoros,COM,43.3601555196706,..,..,..,..,..,..,..,..,..,..,..,..,..,56.9296817965668,60.4943862844511,67.0471325378138,63.9007512234656,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Dem. Rep.",COD,340.873950072205,328.966518106538,322.190006651861,316.091314693895,305.906656588737,308.728034386183,310.402988331123,308.148140035476,308.493404242639,302.541944332153,295.224225555455,296.803052827625,298.228677582177,300.003033509782,302.302988116576,304.156016192706,305.676953762111,306.63672638044,307.654980173791,306.548953383627,307.419953585794,315.766559624244,378.917066777037,385.169205533383,389.33192306357,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Rep.",COG,334.058912810381,339.361888779489,326.136005834651,319.204898055489,267.716807637297,297.174516913342,272.168956246119,253.045046176167,246.026709833527,235.280488330663,226.983917368072,247.284825383251,242.134831969797,277.652966519339,286.137916653848,299.986060409493,378.773723072109,325.053487779916,336.090416369395,371.370758512285,392.36769932408,508.036917806411,567.361122505043,567.860419346793,554.808407223683,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Costa Rica,CRI,537.736505320037,555.851577956238,699.25027080316,695.354325151573,667.951107222839,664.933406364175,651.800123445846,644.711987177022,626.690277602884,676.569388716307,725.218126919936,716.584028949395,741.59171406451,783.889638292308,915.234115671496,902.048581473069,962.556830054319,1023.5715706298,1027.49889371237,1008.88438618456,1015.01274310315,1004.72859774241,1009.45776450512,1021.26248943771,1023.00894441252,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cote d'Ivoire,CIV,364.374240505793,361.578372237704,380.498033900072,380.414994586578,376.64600744658,362.961998940546,394.759213472887,390.404967713576,377.95583592815,438.172837260744,412.644910246746,387.471603022508,405.057029438868,374.915466876823,517.460232311922,524.036158080786,504.324039627797,531.026088718219,521.908392457266,467.46304815454,494.952551873939,554.066058908665,586.274505981941,612.548950186995,612.640153961886,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Croatia,HRV,1981.18922385715,1742.37228999992,1634.5650111084,1680.34891270726,1629.12272163686,1692.15892537494,1770.79750551722,1881.92735483757,1945.43741525793,1930.36936380537,1876.80577543774,2024.54692739535,2081.5982803113,2232.49343135508,2230.90321981136,2261.48377838797,2248.38007598421,2338.44769300478,2280.0706776914,2207.10302307847,2185.44698815741,2140.43613287975,2020.7523834474,1983.86794711738,1897.84066540377,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cuba,CUB,1642.75015152892,1349.56746317202,1175.52115064407,977.04690181185,1002.35559251857,997.526232860885,1084.17079604687,1108.79000507019,1034.78401245365,1072.11617486132,1144.784715313,1114.66495149385,1035.41762149553,1027.5707502496,1002.43654316993,947.435271527571,945.97632518172,901.335529025461,958.208399754703,1016.65519254129,1099.50282526943,1032.81959868894,1065.34364398081,1022.1605251216,1034.68607050808,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Curacao,CUW,10030.15130674,10062.5333268699,10501.8344543888,8854.51042626768,8997.11678075088,9055.71211045963,9222.18500950064,16175.1952965514,18814.3723351238,14680.9249218235,15720.1105632751,16994.1339201996,16662.9929182307,15566.6921916344,16180.8229998808,15178.8272385186,14581.1072012688,16222.4551563281,15326.4875239923,15608.4940033916,13710.0798235409,16064.0518195862,13395.3697859134,11727.5097190259,12650.8604378195,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cyprus,CYP,1780.70087331972,1778.90857641957,1958.79522015061,2056.49371111431,2298.32280106557,1981.39663752962,2157.54909133375,2071.93303335989,2174.78117138512,2145.32971364273,2265.40724485577,2201.69513764793,2193.68165050094,2346.79934739921,2161.63767507779,2159.59430240682,2207.92878479054,2292.22450040565,2388.5894765261,2299.79609920197,2195.3376379187,2105.25651363358,1961.81212038983,1687.82969333821,1712.15975214465,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Czech Republic,CZE,4796.94145802598,4349.23623801459,4222.41657551713,4089.40851541479,3963.3140941282,4019.8048793808,4152.93825902856,4184.88468362834,4057.40582743602,3782.88920697092,3988.03849376645,4111.15248167077,4163.45010589476,4357.57266187417,4460.25993073914,4400.87811285159,4491.51613380532,4468.96035160506,4330.7126907018,4034.7435104926,4237.89674072334,4077.35605875256,4054.08501838826,3989.99141357576,3915.11358247856,3860.00296414044
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Denmark,DNK,3376.78330748527,3734.81839816014,3561.89036947656,3645.51534625338,3760.57723705289,3706.44018685463,4170.25202381726,3848.15584359557,3772.11027674385,3602.67063825597,3489.61479626999,3583.95572278258,3535.09801372079,3727.83417869785,3597.17296049994,3487.63191419322,3728.17103871206,3622.59683255582,3501.51384669601,3329.21106734539,3510.79684978396,3230.18803095984,3091.58158027832,3125.3377601011,2872.57354732678,2816.61456539942
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Djibouti,DJI,220.286396634135,..,..,..,..,..,..,..,..,..,..,..,..,..,172.368432989504,177.464781539577,179.973142469508,177.540284883873,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominica,DMA,300.651727516721,..,..,..,..,..,..,..,..,..,..,..,..,..,554.11895086812,580.827041040389,593.908198761277,607.387527367752,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominican Republic,DOM,562.813959050081,556.624255939384,605.784128216543,576.391880540592,650.230676416995,671.087126420229,688.686309399639,755.976041285403,786.29547578857,805.220199290855,852.250080005232,814.305955119909,851.618371399345,794.620915838382,708.740396619557,760.091750733216,776.566313246812,779.649788127267,771.974423971051,748.189910613605,776.688810794625,781.470283424078,815.390753174608,759.693951886423,751.795394040321,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ecuador,ECU,618.714576792305,635.30674458521,628.606654511158,572.950643645658,599.670360486228,687.082133151012,708.343992834764,720.089743070549,724.920110745227,639.483801588396,695.184724570529,724.370748390183,694.601081221733,693.003975114434,658.112139783007,675.36701368097,667.10383612824,742.189045936025,672.482768161977,788.082432181451,784.051912992218,817.584469783716,795.142748832856,843.978287024381,888.964895455934,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Egypt, Arab Rep.",EGY,574.529271005029,561.936690177575,564.40959960771,573.402316320572,540.664871191482,563.545815116025,586.219151713866,598.396126379922,628.518171127069,630.035157360912,589.667783358858,649.741625624151,657.75099274963,670.250102789389,711.346722101188,813.999296034328,844.987612987819,889.38944341101,907.595274749778,911.488594573194,876.542175814559,900.660398619413,905.586605947728,848.629144352604,827.497166867788,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,El Salvador,SLV,468.439087915001,508.092736360577,523.107835334045,543.207812363115,567.932758459805,596.741640905376,564.161331810645,618.233627158003,630.313232771594,648.771755491933,673.773458135415,700.261649811051,709.74093848245,736.947489997209,727.342405462867,744.795338759639,778.709375712961,733.490888186825,733.500506542652,684.1216002245,687.283944128884,690.941311648146,677.328335088458,636.573482262407,645.8763030712,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1062.83710556818,1666.36648055128,1915.87974954621,2140.717815908,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eritrea,ERI,..,..,388.611159835506,411.442107792905,428.269541973378,452.633173972495,476.803626191916,474.072046060936,306.621731374454,313.522585316472,308.796919930763,312.342665794143,301.655180975213,308.147758550358,273.391124283634,269.561344329118,237.87088295716,239.244581076283,220.208509983907,231.353047514039,233.65973438976,236.344000507783,240.71266752182,243.060232519161,245.919233543986,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Estonia,EST,6232.73199785365,5841.39064915834,4283.1586644237,3639.26919246544,3752.3873275743,3624.43113555714,4043.28995460563,4010.91576845166,3695.1706734307,3462.76696752513,3374.70838985386,3541.51205051455,3415.78062130714,3798.03825726625,3893.39547172581,3846.3929434777,3775.03508289959,4243.64799952263,4105.41773553014,3648.97884250083,4222.7371899585,4237.72919132254,4174.38776559391,4623.27911216793,4592.61645664469,4173.32658257102
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eswatini,SWZ,375.475699578047,..,..,..,..,..,..,..,..,..,..,..,..,..,395.601226168924,387.161003668811,391.857093771596,405.696243809056,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ethiopia,ETH,478.902828514071,478.127652125725,472.505777261543,474.979775991121,476.556658145255,478.028572055613,478.905069040528,477.897627417353,478.277740523715,477.670481486467,478.493254581773,482.405389493981,482.688604193451,484.044732130753,484.629847680154,482.90572939405,483.940301294423,485.596983070753,486.760873790278,486.731930282258,486.690295765069,489.175656865132,489.193926112393,492.145208009768,493.130163293052,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Fiji,FJI,392.282173509038,..,..,..,..,..,..,..,..,..,..,..,..,..,814.320299317732,703.501930370349,675.226786814355,626.651837501046,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Finland,FIN,5691.57118588425,5742.78422893888,5380.99306781923,5617.21537795619,5972.55427268616,5661.9038762361,6070.21209376859,6276.95169202902,6319.32660107756,6283.95825823535,6262.19207918382,6410.62523419393,6728.58140544607,7077.0266490748,7134.85420908111,6562.02231144836,7111.856821567,6974.89676140919,6669.1733483595,6268.30054519017,6828.78375314542,6537.63729819133,6275.77096367897,6116.22729442255,6213.35776612777,5924.70012488295
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,France,FRA,3846.62651157073,4043.09902143487,3954.00319419053,4001.9015250504,3836.11235131439,3981.35250943206,4191.92383324045,4049.23250789033,4151.62719455302,4123.52627129293,4135.47764416171,4246.00494186279,4225.4679686118,4270.94945599226,4301.73722482112,4287.1574131871,4188.84293002065,4115.52736825703,4110.58565855333,3913.4576392306,4016.84794713105,3847.07272938188,3836.65659155359,3833.53414288378,3659.08779468449,3692.01783331053
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
